date,generatedCoins,paymentCount,marketcap(USD),price(USD),marketcap(EUR),price(EUR)
2017-10-03,2287.5,440833.0,73181331456.0,4408.46,63667758366.72,3835.3602
2017-10-04,1675.0,366423.0,71712522240.0,4319.37,62389894348.8,3757.8518999999997
2017-10-05,1562.5,401676.0,70233686016.0,4229.88,61103306833.92,3679.9956
2017-10-06,1987.5,457187.0,71810605056.0,4324.46,62475226398.72,3762.2802
2017-10-07,1975.0,376557.0,72565055488.0,4369.35,63131598274.56,3801.3345000000004
2017-10-08,2275.0,370758.0,73575424000.0,4429.67,64010618880.0,3853.8129
2017-10-09,2012.5,429684.0,76656467968.0,4614.52,66691127132.159996,4014.6324000000004
2017-10-10,2000.0,462138.0,79351848960.0,4776.21,69036108595.2,4155.3027
2017-10-11,1737.5,453823.0,79578218496.0,4789.25,69233050091.52,4166.6475
2017-10-12,1912.5,426771.0,80256729088.0,4829.58,69823354306.56,4201.7346
2017-10-13,1700.0,501228.0,90812375040.0,5464.16,79006766284.8,4753.8192
2017-10-14,1762.5,448376.0,93803028480.0,5643.53,81608634777.6,4909.871099999999
2017-10-15,2437.5,426984.0,97011859456.0,5835.96,84400317726.72,5077.2852
2017-10-16,2175.0,484439.0,94558953472.0,5687.57,82266289520.64,4948.1858999999995
2017-10-17,2050.0,500846.0,95469297664.0,5741.58,83058288967.68,4995.1746
2017-10-18,1887.5,497948.0,93190160384.0,5603.82,81075439534.08,4875.323399999999
2017-10-19,2225.0,525157.0,92866969600.0,5583.74,80794263552.0,4857.8538
2017-10-20,2237.5,500763.0,94947926016.0,5708.11,82604695633.92,4966.0557
2017-10-21,1912.5,447156.0,99763249152.0,5996.79,86794026762.24,5217.2073
2017-10-22,2275.0,433885.0,100437917696.0,6036.66,87380988395.52,5251.8942
2017-10-23,2137.5,477707.0,99941629952.0,6006.0,86949218058.24,5225.22
2017-10-24,2087.5,529691.0,98781609984.0,5935.52,85940000686.08,5163.9024
2017-10-25,2312.5,464949.0,91954200576.0,5524.6,80000154501.12,4806.402
2017-10-26,2250.0,416138.0,95685124096.0,5747.95,83246057963.52,5000.7164999999995
2017-10-27,1300.0,418157.0,98225446912.0,5899.74,85456138813.44,5132.7738
2017-10-28,1062.5,327091.0,96369557504.0,5787.82,83841515028.48,5035.4034
2017-10-29,1925.0,516737.0,95819800576.0,5754.44,83363226501.12,5006.3628
2017-10-30,1837.5,496273.0,101833015296.0,6114.85,88594723307.52,5319.9195
2017-10-31,1725.0,461286.0,102130237440.0,6132.02,88853306572.8,5334.857400000001
2017-11-01,1950.0,554430.0,107286847488.0,6440.97,93339557314.56,5603.6439
2017-11-02,1875.0,510736.0,112909656064.0,6777.77,98231400775.68,5896.659900000001
2017-11-03,1487.5,516545.0,118083854336.0,7087.53,102732953272.31999,6166.1511
2017-11-04,1625.0,418542.0,119376199680.0,7164.48,103857293721.6,6233.097599999999
2017-11-05,1762.5,425979.0,123388100608.0,7404.52,107347647528.96,6441.932400000001
